2006,Acura,MDX
2007,Acura,MDX
2008,Acura,MDX
2009,Acura,MDX
2010,Acura,MDX
2011,Acura,MDX
2012,Acura,MDX
2007,Acura,RDX
2008,Acura,RDX
2009,Acura,RDX
2010,Acura,RDX
2011,Acura,RDX
2012,Acura,RDX
2006,Acura,RL
2007,Acura,RL
2008,Acura,RL
2009,Acura,RL
2010,Acura,RL
2011,Acura,RL
2012,Acura,RL
2006,Acura,RSX
2006,Acura,TL
2007,Acura,TL
2008,Acura,TL
2009,Acura,TL
2010,Acura,TL
2011,Acura,TL
2012,Acura,TL
2006,Acura,TSX
2007,Acura,TSX
2008,Acura,TSX
2009,Acura,TSX
2010,Acura,TSX
2011,Acura,TSX
2012,Acura,TSX
2010,Acura,ZDX
2011,Acura,ZDX
2012,Acura,ZDX
2009,Aptera,2e
2008,Aptera,Typ-1
2009,Aptera,Typ-1
2010,Aptera,Type-1h
2006,Aston%20Martin,DB9
2007,Aston%20Martin,DB9
2008,Aston%20Martin,DB9
2009,Aston%20Martin,DB9
2010,Aston%20Martin,DB9
2011,Aston%20Martin,DB9
2012,Aston%20Martin,DB9
2006,Aston%20Martin,DB9-Volante
2008,Aston%20Martin,DBS
2009,Aston%20Martin,DBS
2010,Aston%20Martin,DBS
2011,Aston%20Martin,DBS
2012,Aston%20Martin,DBS
2010,Aston%20Martin,Rapide
2011,Aston%20Martin,Rapide
2012,Aston%20Martin,Rapide
2011,Aston%20Martin,V12-Vantage
2012,Aston%20Martin,V12-Vantage
2006,Aston%20Martin,V8-Vantage
2007,Aston%20Martin,V8-Vantage
2008,Aston%20Martin,V8-Vantage
2009,Aston%20Martin,V8-Vantage
2010,Aston%20Martin,V8-Vantage
2011,Aston%20Martin,V8-Vantage
2012,Aston%20Martin,V8-Vantage
2011,Aston%20Martin,V8-Vantage-S
2012,Aston%20Martin,V8-Vantage-S
2006,Aston%20Martin,Vanquish-S
2006,Aston%20Martin,Vantage
2007,Aston%20Martin,Vantage
2008,Aston%20Martin,Vantage
2009,Aston%20Martin,Vantage
2010,Aston%20Martin,Vantage
2011,Aston%20Martin,Vantage
2011,Aston%20Martin,Virage
2012,Aston%20Martin,Virage
2006,Audi,A3
2007,Audi,A3
2008,Audi,A3
2009,Audi,A3
2010,Audi,A3
2011,Audi,A3
